valor,hora,cidade,anomalia,score
859,12,6,1,0.1459268270928778
1279,12,0,1,0.11533224196734548
401,21,6,1,0.08887501099737238
1080,16,7,1,0.11220598401337334
1333,15,4,1,0.1465088704825397
91,12,7,1,0.06771480049439893
1726,7,1,1,0.09641429134840634
551,22,1,1,0.08214537877786243
188,22,0,1,0.037401764467205556
2125,15,4,1,0.12610642691248503
214,7,6,1,0.09031562526435355
814,11,4,1,0.14116690206304455
2328,19,4,1,0.09580293234154208
13,16,4,1,0.09986824793901938
1128,17,7,1,0.11487150890982889
2451,20,4,1,0.07857838283539831
1680,22,1,1,0.08606690617824353
1468,18,4,1,0.13622552140679356
1234,18,6,1,0.13513850833919583
2468,10,4,1,0.08107808716249398
108,13,6,1,0.09961563918451721
1648,17,0,1,0.12116198789518923
798,20,6,1,0.11880198593863467
591,14,4,1,0.14424320511575678
2403,20,7,1,0.05465425576169636
1659,13,1,1,0.13608188837730728
1287,16,6,1,0.13312567769014894
496,20,7,1,0.08888558897629995
1483,11,1,1,0.13039043337835982
173,20,1,1,0.08081026304542505
1635,22,6,1,0.0821892634630329
2252,8,7,1,0.05442630525464032
334,7,6,1,0.0920981232007142
1555,14,0,1,0.11401972929021026
1347,14,6,1,0.14248913621947817
456,12,0,1,0.09451843683727879
1402,23,6,1,0.059620649868927456
476,20,0,1,0.08694668228156399
120,20,7,1,0.06372029786618838
1403,14,6,1,0.14283713794240815
1516,16,7,1,0.11051666156966433
1048,15,7,1,0.12193793659464652
1995,9,6,1,0.11352370507330856
1824,17,4,1,0.13757906020905736
1463,18,0,1,0.11811386643679345
1318,23,0,1,0.04525836646551473
466,18,0,1,0.10141397849793465
2229,8,0,1,0.06282492855467592
592,23,4,1,0.06471079819575576
1823,17,6,1,0.11624444051915395
514,8,4,1,0.112029206740208
1695,20,1,1,0.11228732335020347
1026,14,0,1,0.10972668386936607
1432,14,0,1,0.11290090452590695
129,17,4,1,0.115937417506282
935,16,0,1,0.10777505662739956
2000,17,7,1,0.10511048194489286
447,6,0,1,0.028375081078799047
1591,14,7,1,0.11108358697292042
1275,8,7,1,0.0827267169103717
315,19,4,1,0.11474421494443393
2308,15,6,1,0.09306912080721019
1687,15,4,1,0.14356425197031458
1735,13,0,1,0.11414066719466909
2269,18,0,1,0.08066890120628889
1704,8,7,1,0.07719268042883243
312,17,0,1,0.08331621025625424
1738,23,6,1,0.05305026258016621
826,18,7,1,0.10768920393409404
1352,11,7,1,0.10701509310263008
1080,21,7,1,0.08848861831001187
1611,10,1,1,0.12319357893327765
193,17,1,1,0.09855737977255896
2135,6,6,1,0.06831182841761829
1023,14,4,1,0.13648639743130603
453,19,7,1,0.10013501693527671
140,8,4,1,0.09037291897041211
341,17,0,1,0.08466350722924132
498,14,6,1,0.13618886355700954
585,8,6,1,0.11078157894381274
902,14,4,1,0.1434666093129649
405,11,6,1,0.12290511782650076
123,22,1,1,0.044292293143040395
676,13,6,1,0.14284097552793884
417,10,4,1,0.12245374179720192
330,16,7,1,0.09253432838619335
1812,22,7,1,0.07154285229466384
79,16,4,1,0.10907139626739387
1415,20,6,1,0.11551323958065424
997,11,1,1,0.12301066654703774
1352,7,4,1,0.1054630362834601
161,9,6,1,0.10639379416682615
206,10,7,1,0.08431937758534602
1448,22,1,1,0.08933710023115016
2489,19,1,1,0.06171721582468237
643,11,1,1,0.12222453461394733
320,11,7,1,0.09375507683265982
267,10,7,1,0.08380882186972771
2275,10,4,1,0.09640241657911863
354,16,0,1,0.09025529698669166
2484,17,6,1,0.07170245034379097
2187,23,6,1,0.036201467478664706
2073,14,1,1,0.12166326858064735
1003,14,6,1,0.14025724862699002
519,16,1,1,0.12802249710945074
1804,9,0,1,0.08888786939852222
326,16,7,1,0.09195363348410812
975,8,6,1,0.1149302372004351
1523,7,4,1,0.09836601826491026
598,13,6,1,0.1416239148141724
2255,18,4,1,0.10824885040353466
312,18,6,1,0.11866085709232937
722,18,7,1,0.10749522731702776
1668,22,0,1,0.0794860952944576
284,18,1,1,0.10128923301642367
1554,7,1,1,0.09830971802040589
1418,15,4,1,0.1482627679398265
177,16,7,1,0.08249317753369101
1657,18,6,1,0.12470826010285951
904,20,7,1,0.09510281815217025
61,6,4,1,0.04416945317918197
1049,14,6,1,0.14118284604842007
571,14,4,1,0.1443764635554023
1240,13,7,1,0.11996154705590623
39,20,4,1,0.07880618323364552
2263,21,4,1,0.08362330636720061
977,9,7,1,0.09213427894747173
968,6,4,1,0.07357545203387428
1169,14,4,1,0.13863833872867937
658,6,6,1,0.07826502662843837
143,8,6,1,0.09276072915869271
1630,7,0,1,0.07710077265818027
954,23,7,1,0.049706841313187256
1332,13,1,1,0.13533458041841812
1235,14,1,1,0.1312356095093486
2360,20,0,1,0.05491593163791586
1949,6,6,1,0.07292722608744184
810,7,6,1,0.11442642394761854
1410,8,0,1,0.08533765134065796
915,19,4,1,0.12452753425302743
461,21,1,1,0.09813119801693526
1434,16,7,1,0.10608098507245989
2072,8,6,1,0.10078453831735851
888,20,1,1,0.10737923018394147
1516,15,7,1,0.1208204518431657
1598,7,6,1,0.10936977545819032
1760,15,0,1,0.1161262896808527
1760,20,1,1,0.11128939287108669
201,23,0,1,0.011882215927100037
609,10,4,1,0.1329462262891643
490,17,1,1,0.12235608464311482
1004,23,0,1,0.03623878801156166
2026,7,6,1,0.09487594930539955
104,20,7,1,0.05955785401375613
2241,10,4,1,0.1021989726458209
772,12,6,1,0.14560711979324648
1814,7,1,1,0.09332167399993563
845,22,1,1,0.08696124616276779
544,15,6,1,0.13421052349991275
1921,22,4,1,0.08061865946719482
1157,12,0,1,0.1078588898844986
600,7,6,1,0.1058878868448696
2071,14,6,1,0.12415369185464281
2345,20,6,1,0.07408814562468125
71,23,6,1,0.025042357220988354
114,13,1,1,0.09178376711573988
1805,23,1,1,0.05795984117504871
1123,10,7,1,0.10081363885375372
378,6,6,1,0.0642892124755865
2417,11,6,1,0.08649322712380292
320,10,4,1,0.11464126847725792
953,14,6,1,0.14177045498928126
666,20,1,1,0.10694934465030326
2123,19,4,1,0.10836595733149368
594,7,6,1,0.1058878868448696
724,19,6,1,0.1283106205321275
228,12,7,1,0.087422707678108
1702,13,1,1,0.13308089179984245
1283,11,6,1,0.1344782143913364
2105,9,1,1,0.10040993623841493
1062,21,7,1,0.08449929511394627
2439,8,0,1,0.04807648304513068
1885,9,6,1,0.11723790478201618
1685,19,6,1,0.12149820070231926
2290,22,4,1,0.06173666797881183
592,18,6,1,0.13385678090923464
2413,10,7,1,0.06075108029791931
1529,7,1,1,0.09543006773387708
1492,13,6,1,0.13975112210238688
848,16,6,1,0.13771568086632752
2123,6,1,1,0.056303012581012335
979,19,6,1,0.13018844157246978
