valor,hora,cidade
859,12,Valinhos
1279,12,Campinas
401,21,Valinhos
1080,16,Vinhedo
1333,15,São Paulo
91,12,Vinhedo
1726,7,Jundiai
551,22,Jundiai
188,22,Campinas
2125,15,São Paulo
214,7,Valinhos
814,11,São Paulo
2328,19,São Paulo
13,16,São Paulo
1128,17,Vinhedo
2451,20,São Paulo
1680,22,Jundiai
1468,18,São Paulo
1234,18,Valinhos
2468,10,São Paulo
108,13,Valinhos
1648,17,Campinas
798,20,Valinhos
591,14,São Paulo
2403,20,Vinhedo
1659,13,Jundiai
1287,16,Valinhos
496,20,Vinhedo
1483,11,Jundiai
173,20,Jundiai
1635,22,Valinhos
2252,8,Vinhedo
334,7,Valinhos
1555,14,Campinas
1347,14,Valinhos
456,12,Campinas
1402,23,Valinhos
476,20,Campinas
120,20,Vinhedo
1403,14,Valinhos
1516,16,Vinhedo
1048,15,Vinhedo
1995,9,Valinhos
1824,17,São Paulo
1463,18,Campinas
1318,23,Campinas
466,18,Campinas
2229,8,Campinas
592,23,São Paulo
1823,17,Valinhos
514,8,São Paulo
1695,20,Jundiai
1026,14,Campinas
1432,14,Campinas
129,17,São Paulo
935,16,Campinas
2000,17,Vinhedo
447,6,Campinas
1591,14,Vinhedo
1275,8,Vinhedo
315,19,São Paulo
2308,15,Valinhos
1687,15,São Paulo
1735,13,Campinas
2269,18,Campinas
1704,8,Vinhedo
312,17,Campinas
1738,23,Valinhos
826,18,Vinhedo
1352,11,Vinhedo
1080,21,Vinhedo
1611,10,Jundiai
193,17,Jundiai
2135,6,Valinhos
1023,14,São Paulo
453,19,Vinhedo
140,8,São Paulo
341,17,Campinas
498,14,Valinhos
585,8,Valinhos
902,14,São Paulo
405,11,Valinhos
123,22,Jundiai
676,13,Valinhos
417,10,São Paulo
330,16,Vinhedo
1812,22,Vinhedo
79,16,São Paulo
1415,20,Valinhos
997,11,Jundiai
1352,7,São Paulo
161,9,Valinhos
206,10,Vinhedo
1448,22,Jundiai
2489,19,Jundiai
643,11,Jundiai
320,11,Vinhedo
267,10,Vinhedo
2275,10,São Paulo
354,16,Campinas
2484,17,Valinhos
2187,23,Valinhos
2073,14,Jundiai
1003,14,Valinhos
519,16,Jundiai
1804,9,Campinas
326,16,Vinhedo
975,8,Valinhos
1523,7,São Paulo
598,13,Valinhos
2255,18,São Paulo
312,18,Valinhos
722,18,Vinhedo
1668,22,Campinas
284,18,Jundiai
1554,7,Jundiai
1418,15,São Paulo
177,16,Vinhedo
1657,18,Valinhos
904,20,Vinhedo
61,6,São Paulo
1049,14,Valinhos
571,14,São Paulo
1240,13,Vinhedo
39,20,São Paulo
2263,21,São Paulo
977,9,Vinhedo
968,6,São Paulo
1169,14,São Paulo
658,6,Valinhos
143,8,Valinhos
1630,7,Campinas
954,23,Vinhedo
1332,13,Jundiai
1235,14,Jundiai
2360,20,Campinas
1949,6,Valinhos
810,7,Valinhos
1410,8,Campinas
915,19,São Paulo
461,21,Jundiai
1434,16,Vinhedo
2072,8,Valinhos
888,20,Jundiai
1516,15,Vinhedo
1598,7,Valinhos
1760,15,Campinas
1760,20,Jundiai
201,23,Campinas
609,10,São Paulo
490,17,Jundiai
1004,23,Campinas
2026,7,Valinhos
104,20,Vinhedo
2241,10,São Paulo
772,12,Valinhos
